batch_id,temperature_C,time_h,UTS_MPa,elongation_pct,hardness_HV
B01,500,2,894.3,16.1,279.5
B01,525,3,951.7,13.8,293.2
B01,550,4,993.0,13.2,300.6
B01,575,5,986.7,15.5,304.1
B01,600,6,1052.6,13.4,307.7
B01,625,7,1067.8,14.3,299.9
B01,650,8,1096.1,12.1,319.9
B01,675,9,1135.5,12.3,318.3
B01,700,2,1173.4,9.6,321.1
B01,725,3,1209.9,8.2,337.1
B01,500,4,903.2,14.4,289.9
B01,525,5,937.6,15.7,286.8
B01,550,6,966.7,15.2,292.9
B01,575,7,1004.0,14.6,304.4
B01,600,8,1030.0,13.7,298.0
B01,625,9,1076.0,11.9,307.2
B01,650,2,1087.2,12.5,315.9
B01,675,3,1141.5,12.7,322.4
B01,700,4,1163.3,12.2,321.5
B01,725,5,1225.0,10.0,338.2
B01,500,6,909.1,14.6,279.9
B01,525,7,958.6,15.6,293.3
B01,550,8,957.0,14.2,280.5
B01,575,9,977.0,13.8,300.4
B01,600,2,1020.0,12.0,303.1
B01,625,3,1051.4,13.0,303.3
B01,650,4,1102.8,13.6,316.4
B01,675,5,1140.4,11.7,318.8
B01,700,6,1163.2,10.5,322.5
B01,725,7,1206.9,9.1,327.8
B01,500,8,899.4,15.4,281.7
B01,525,9,929.7,15.7,282.3
B01,550,2,990.9,16.3,302.0
B01,575,3,1011.3,12.4,296.4
B01,600,4,1019.7,11.9,293.2
B01,625,5,1094.8,12.8,305.7
B01,650,6,1101.0,9.8,300.9
B01,675,7,1166.4,12.4,322.7
B01,700,8,1173.0,9.8,338.2
B01,725,9,1236.6,10.5,347.0
B01,500,2,927.7,16.5,292.7
B01,525,3,934.8,16.1,281.8
B01,550,4,967.1,12.5,284.5
B01,575,5,990.8,12.8,296.7
B01,600,6,1039.2,12.8,301.8
B01,625,7,1091.0,11.7,316.7
B01,650,8,1099.6,12.3,312.2
B01,675,9,1158.0,10.6,326.6
B01,700,2,1215.2,9.9,334.1
B01,725,3,1222.9,11.3,342.6
B01,500,4,881.2,14.0,276.1
B01,525,5,946.7,14.4,284.4
B01,550,6,944.1,12.3,279.6
B01,575,7,986.2,14.3,288.9
B01,600,8,1047.5,13.0,296.7
B01,625,9,1083.5,13.8,308.9
B01,650,2,1090.0,11.7,315.7
B01,675,3,1144.2,14.1,318.3
B01,700,4,1207.6,11.3,343.3
